time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
448178864640,1,0.0,,0.0,68,0
448178864896,1,0.0,,0.0,68,0
448178865152,1,0.0,,0.0,68,0
448178865408,1,0.0,,0.0,68,0
448178865664,1,0.0,,0.0,68,0
448178865920,1,0.0,,0.0,68,0
448178866176,1,0.0,,0.0,68,0
448178866432,1,0.0,,0.0,67,0
448178866688,1,0.0,,0.0,67,0
448178866944,1,0.0,,0.0,67,0
448178867200,1,0.0,,0.0,67,0
448178867456,1,0.0,,0.0,67,0
448178867712,1,0.0,,0.0,68,0
448178867968,1,39.839999999999996,,0.0,68,0
448178868224,1,39.839999999999996,,0.0,69,0
448178868480,2,66.39999999999999,,0.0,69,0
448178868736,2,66.39999999999999,,0.0,69,0
448178868992,2,66.39999999999999,,0.0,69,0
448178869248,2,106.24,,0.0,69,0
448178869504,2,106.24,,0.0,69,0
448178869760,2,132.79999999999998,,0.0,69,0
448178870016,2,132.79999999999998,,0.0,69,0
448178870272,2,132.79999999999998,,0.0,69,0
448178870528,2,132.79999999999998,,0.0,70,0
448178870784,2,132.79999999999998,,0.0,70,0
448178871040,2,132.79999999999998,,0.0,70,0
448178871296,2,132.79999999999998,,0.0,70,0
448178871552,2,132.79999999999998,,0.0,70,0
448178871808,2,132.79999999999998,,0.0,69,0
448178872064,2,132.79999999999998,,0.0,69,0
448178872320,2,225.76,,0.015625,69,0
448178872576,2,225.76,,0.0,69,0
448178872832,2,225.76,,0.0,69,0
448178873088,2,225.76,,0.0,69,0
448178873344,2,225.76,,0.0,70,0
448178873600,2,225.76,,0.0,70,0
448178873856,2,411.68,,0.0,70,0
448178874112,3,411.68,,0.0,70,0
448178874368,3,411.68,,0.0,69,0
448178874624,3,411.68,,0.0,69,0
448178874880,3,411.68,,0.0,69,0
448178875136,3,411.68,,0.0,69,0
448178875392,3,411.68,,0.0,69,0
448178875648,3,411.68,,0.015625,69,0
448178875904,3,411.68,,0.0,69,0
448178876160,3,411.68,,0.015625,70,0
448178876416,3,411.68,,0.0,70,0
448178876672,3,411.68,,0.015625,70,0
448178876928,3,411.68,,0.0,71,0
448178877184,3,756.9599999999999,,0.015625,71,0
448178877440,4,756.9599999999999,,0.0,71,0
448178877696,4,756.9599999999999,,0.0,71,0
448178877952,5,756.9599999999999,,0.015625,72,0
448178878208,5,756.9599999999999,,0.0,72,0
448178878464,5,756.9599999999999,,0.0,72,0
448178878720,5,1872.48,,0.0,73,0
448178878976,8,1872.48,,0.0,73,0
448178879232,10,1872.48,,0.0,73,0
448178879488,10,1872.48,,0.0,73,0
448178879744,10,1938.8799999999999,,0.0,73,0
448178880000,10,1938.8799999999999,,0.0,73,0
448178880256,9,1938.8799999999999,,0.0,72,0
448178880512,9,2018.56,,0.0,72,0
448178880768,9,2018.56,,0.0,72,0
448178881024,9,2018.56,,0.0,71,0
448178881280,9,1965.4399999999998,,0.0,71,0
448178881536,9,1965.4399999999998,,0.0,71,0
448178881792,10,2456.7999999999997,,0.0,71,0
448178882048,11,2456.7999999999997,,0.0,71,0
448178882304,11,2456.7999999999997,,0.0,70,0
448178882560,12,2722.4,,0.0,70,0
448178882816,12,2722.4,,0.0,70,0
448178883072,13,3944.16,,0.0,70,0
448178883328,16,3944.16,,0.0,69,0
448178883584,18,3944.16,,0.0,70,0
448178883840,19,3944.16,,0.0,70,0
448178884096,19,3944.16,,0.0,70,0
